fromnode,tonode,w
6,24,10802.0
7,0,2243.0
7,1,3202.0
7,2,5768.0
7,3,27342.0
7,4,1562.0
7,5,3512.0
7,6,11557.0
7,7,0.0
7,8,5615.0
7,9,7095.0
7,10,10753.0
7,11,30362.0
7,12,1783.0
7,13,3437.0
7,14,8897.0
7,15,2509.0
7,16,23273.0
7,17,5160.0
7,18,8750.0
7,19,2583.0
7,20,7288.0
7,21,17481.0
7,22,7930.0
7,23,1278.0
7,24,8447.0
8,0,8857.0
8,1,6699.0
8,2,16578.0
8,3,51341.0
8,4,7180.0
8,5,10419.0
8,6,6479.0
8,7,5615.0
8,8,0.0
8,9,4448.0
8,10,5076.0
8,11,22463.0
8,12,4783.0
8,13,24609.0
8,14,9969.0
8,15,4224.0
8,16,79945.0
8,17,20001.0
8,18,4291.0
8,19,10604.0
8,20,11925.0
8,21,13091.0
8,22,4172.0
8,23,12891.0
8,24,19500.0
9,0,7248.0
9,1,4198.0
9,2,4242.0
9,3,15826.0
9,4,1917.0
9,5,3543.0
9,6,34261.0
9,7,7095.0
9,8,4448.0
9,9,0.0
9,10,4370.0
9,11,17267.0
9,12,3929.0
9,13,8602.0
9,14,2753.0
9,15,20013.0
9,16,28080.0
9,17,5971.0
9,18,2131.0
9,19,3579.0
9,20,6809.0
9,21,8455.0
9,22,2868.0
9,23,2336.0
9,24,5616.0
10,0,3559.0
10,1,2454.0
10,2,3365.0
10,3,28537.0
10,4,2253.0
10,5,2752.0
10,6,10134.0
10,7,10753.0
10,8,5076.0
10,9,4370.0
10,10,0.0
10,11,15287.0
10,12,3083.0
10,13,4092.0
10,14,7701.0
10,15,2809.0
10,16,17291.0
10,17,4462.0
10,18,3239.0
10,19,2309.0
10,20,16003.0
10,21,8381.0
10,22,3033.0
10,23,1755.0
10,24,7266.0
11,0,9221.0
11,1,7975.0
11,2,22254.0
11,3,65387.0
11,4,5951.0
11,5,14412.0
11,6,27350.0
11,7,30362.0
11,8,22463.0
11,9,17267.0
11,10,15287.0
11,11,0.0
11,12,5454.0
11,13,15011.0
11,14,17714.0
11,15,10037.0
11,16,105507.0
11,17,20040.0
11,18,31780.0
11,19,10822.0
11,20,16450.0
11,21,92083.0
11,22,32908.0
11,23,3865.0
11,24,24583.0
12,0,10099.0
12,1,1186.0
12,2,1841.0
12,3,12980.0
12,4,1890.0
12,5,2043.0
12,6,6929.0
12,7,1783.0
12,8,4783.0
12,9,3929.0
12,10,3083.0
12,11,5454.0
12,12,0.0
12,13,3251.0
12,14,1126.0
12,15,5926.0
12,16,10653.0
12,17,3062.0
12,18,759.0
12,19,1255.0
12,20,6173.0
12,21,2974.0
12,22,1056.0
12,23,1504.0
12,24,4588.0
13,0,22866.0
13,1,7443.0
13,2,23665.0
13,3,44097.0
13,4,7097.0
13,5,15642.0
13,6,7961.0
13,7,3437.0
13,8,24609.0
13,9,8602.0
13,10,4092.0
13,11,15011.0
13,12,3251.0
13,13,0.0
13,14,5550.0
13,15,9473.0
13,16,169397.0
13,17,25073.0
13,18,1170.0
13,19,14272.0
13,20,8543.0
13,21,8064.0
13,22,1840.0
13,23,20618.0
13,24,20937.0
14,0,3388.0
14,1,1162.0
14,2,6517.0
14,3,51525.0
14,4,2009.0
14,5,5014.0
14,6,4678.0
14,7,8897.0
14,8,9969.0
14,9,2753.0
14,10,7701.0
14,11,17714.0
14,12,1126.0
14,13,5550.0
14,14,0.0
14,15,2152.0
14,16,26816.0
14,17,6931.0
14,18,4947.0
14,19,2676.0
14,20,8033.0
14,21,12692.0
14,22,6157.0
14,23,3065.0
14,24,12044.0
15,0,9986.0
15,1,5105.0
15,2,3541.0
15,3,14354.0
15,4,1340.0
15,5,2016.0
15,6,13511.0
15,7,2509.0
15,8,4224.0
15,9,20013.0
15,10,2809.0
15,11,10037.0
15,12,5926.0
15,13,9473.0
15,14,2152.0
15,15,0.0
15,16,21806.0
15,17,4519.0
15,18,886.0
15,19,1742.0
15,20,4782.0
15,21,6453.0
15,22,2022.0
15,23,3546.0
15,24,5065.0
16,0,46618.0
16,1,24817.0
16,2,205088.0
16,3,172895.0
16,4,25303.0
16,5,62034.0
16,6,29801.0
16,7,23273.0
16,8,79945.0
16,9,28080.0
16,10,17291.0
16,11,105507.0
16,12,10653.0
16,13,169397.0
16,14,26816.0
16,15,21806.0
16,16,0.0
16,17,9040.0
16,18,11139.0
16,19,63153.0
16,20,34092.0
16,21,70935.0
16,22,14957.0
16,23,28398.0
16,24,166694.0
17,0,11639.0
17,1,6532.0
17,2,37669.0
17,3,37305.0
17,4,6031.0
17,5,15385.0
17,6,7549.0
17,7,5160.0
17,8,20001.0
17,9,5971.0
17,10,4462.0
17,11,20040.0
17,12,3062.0
17,13,25073.0
17,14,6931.0
17,15,4519.0
17,16,9040.0
17,17,0.0
17,18,2802.0
17,19,30224.0
17,20,7982.0
17,21,14964.0
17,22,4589.0
17,23,6227.0
17,24,12359.0
18,0,1380.0
18,1,806.0
18,2,2885.0
18,3,15418.0
18,4,1041.0
18,5,2957.0
18,6,5550.0
18,7,8750.0
18,8,4291.0
18,9,2131.0
18,10,3239.0
18,11,31780.0
18,12,759.0
18,13,1170.0
18,14,4947.0
18,15,886.0
18,16,11139.0
18,17,2802.0
18,18,0.0
18,19,1869.0
18,20,3716.0
18,21,11510.0
18,22,3519.0
18,23,569.0
18,24,3520.0
19,0,5261.0
19,1,8184.0
19,2,13200.0
19,3,26221.0
19,4,4128.0
19,5,5035.0
19,6,3089.0
19,7,2583.0
19,8,10604.0
19,9,3579.0
19,10,2309.0
19,11,10822.0
19,12,1255.0
19,13,14272.0
19,14,2676.0
19,15,1742.0
19,16,63153.0
19,17,30224.0
19,18,1869.0
19,19,0.0
19,20,5020.0
19,21,6610.0
19,22,2139.0
19,23,5431.0
19,24,13541.0
20,0,5985.0
20,1,3896.0
20,2,7116.0
20,3,42303.0
20,4,5452.0
20,5,7482.0
20,6,9958.0
20,7,7288.0
20,8,11925.0
20,9,6809.0
20,10,16003.0
20,11,16450.0
20,12,6173.0
20,13,8543.0
20,14,8033.0
20,15,4782.0
20,16,34092.0
20,17,7982.0
20,18,3716.0
20,19,5020.0
20,20,0.0
20,21,9942.0
20,22,3276.0
20,23,3820.0
20,24,11799.0
21,0,6731.0
21,1,7333.0
21,2,17165.0
21,3,35303.0
21,4,3344.0
21,5,6758.0
21,6,14110.0
21,7,17481.0
21,8,13091.0
21,9,8455.0
21,10,8381.0
21,11,92083.0
21,12,2974.0
21,13,8064.0
21,14,12692.0
21,15,6453.0
21,16,70935.0
21,17,14964.0
21,18,11510.0
21,19,6610.0
21,20,9942.0
21,21,0.0
21,22,35285.0
21,23,2566.0
21,24,19926.0
22,0,2704.0
22,1,3719.0
22,2,4284.0
22,3,13618.0
22,4,1067.0
22,5,2191.0
22,6,4911.0
22,7,7930.0
22,8,4172.0
22,9,2868.0
22,10,3033.0
22,11,32908.0
22,12,1056.0
22,13,1840.0
22,14,6157.0
22,15,2022.0
22,16,14957.0
22,17,4589.0
22,18,3519.0
22,19,2139.0
22,20,3276.0
22,21,35285.0
22,22,0.0
22,23,940.0
22,24,4951.0
23,0,12250.0
23,1,2015.0
23,2,8085.0
23,3,17580.0
23,4,4608.0
23,5,6599.0
23,6,2722.0
23,7,1278.0
23,8,12891.0
23,9,2336.0
23,10,1755.0
23,11,3865.0
23,12,1504.0
23,13,20618.0
23,14,3065.0
23,15,3546.0
23,16,28398.0
23,17,6227.0
23,18,569.0
23,19,5431.0
23,20,3820.0
23,21,2566.0
23,22,940.0
23,23,0.0
23,24,6237.0
24,0,16132.0
24,1,565.0
24,2,51895.0
24,3,40708.0
24,4,7050.0
24,5,14181.0
24,6,10802.0
24,7,8447.0
24,8,19500.0
24,9,5616.0
24,10,7266.0
24,11,24583.0
24,12,4588.0
24,13,20937.0
24,14,12044.0
24,15,5065.0
24,16,166694.0
24,17,12359.0
24,18,3520.0
24,19,13541.0
24,20,11799.0
24,21,19926.0
24,22,4951.0
24,23,6237.0
24,24,0.0
