fromnode,tonode,c
4,32,2258
4,33,1308
4,34,1683
4,35,1666
4,36,1083
4,37,1176
4,38,1836
5,0,948
5,1,1045
5,2,1302
5,3,1618
5,4,897
5,5,0
5,6,645
5,7,1410
5,8,1194
5,9,812
5,10,1018
5,11,1463
5,12,1708
5,13,1924
5,14,1769
5,15,1396
5,16,1331
5,17,1777
5,18,1681
5,19,1148
5,20,539
5,21,1116
5,22,1373
5,23,1743
5,24,1911
5,25,1828
5,26,1864
5,27,1794
5,28,1925
5,29,2194
5,30,2067
5,31,2485
5,32,3011
5,33,2061
5,34,2404
5,35,2387
5,36,1839
5,37,1839
5,38,2551
6,0,1443
6,1,1570
6,2,1265
6,3,1342
6,4,1311
6,5,645
6,6,0
6,7,932
6,8,889
6,9,1166
6,10,1663
6,11,1235
6,12,1345
6,13,1581
6,14,1406
6,15,1033
6,16,968
6,17,1427
6,18,1350
6,19,1037
6,20,794
6,21,1431
6,22,1503
6,23,1784
6,24,1958
6,25,1844
6,26,1868
6,27,1515
6,28,1618
6,29,1887
6,30,1760
6,31,2185
6,32,2704
6,33,1754
6,34,2097
6,35,2080
6,36,1746
6,37,1839
6,38,2244
7,0,1532
7,1,2093
7,2,1331
7,3,1338
7,4,1152
7,5,1410
7,6,932
7,7,0
7,8,1055
7,9,1374
7,10,1930
7,11,1400
7,12,1523
7,13,1739
7,14,1584
7,15,1211
7,16,1146
7,17,1264
7,18,1030
7,19,973
7,20,1307
7,21,1667
7,22,1415
7,23,1696
7,24,1954
7,25,1780
7,26,1804
7,27,1423
7,28,1554
7,29,1823
7,30,1777
7,31,2042
7,32,2587
7,33,1618
7,34,2033
7,35,2016
7,36,1682
7,37,1775
7,38,2122
8,0,1535
8,1,1705
8,2,1264
8,3,1341
8,4,1155
8,5,1194
8,6,889
8,7,1055
8,8,0
8,9,788
8,10,1344
8,11,884
8,12,1007
8,13,1223
8,14,1068
8,15,695
8,16,630
8,17,933
8,18,1267
8,19,913
8,20,1281
8,21,1625
8,22,1319
8,23,1654
8,24,1828
8,25,1738
8,26,1903
8,27,1408
8,28,1512
8,29,1781
8,30,1654
8,31,2072
8,32,2598
8,33,1648
8,34,1991
8,35,1974
8,36,1640
8,37,1733
8,38,2138
9,0,1410
9,1,1258
9,2,1518
9,3,1657
9,4,1474
9,5,812
9,6,1166
9,7,1374
9,8,788
9,9,0
9,10,556
9,11,930
9,12,1384
9,13,1553
9,14,1484
9,15,1041
9,16,1036
9,17,1235
9,18,1701
9,19,1347
9,20,1319
9,21,1505
9,22,1714
9,23,2088
9,24,1800
9,25,1717
9,26,1753
9,27,1815
9,28,1946
9,29,2118
9,30,2088
9,31,2415
9,32,3028
9,33,1930
9,34,2328
9,35,2310
9,36,1647
9,37,1561
9,38,2478
10,0,891
10,1,843
10,2,999
10,3,1387
10,4,1366
10,5,1018
10,6,1663
10,7,1930
10,8,1344
10,9,556
10,10,0
10,11,837
10,12,1400
10,13,1616
10,14,1361
10,15,1118
10,16,1244
10,17,1567
10,18,1561
10,19,1377
10,20,1557
10,21,1116
10,22,1315
10,23,1648
10,24,1401
10,25,1323
10,26,1354
10,27,1554
10,28,1543
10,29,1719
10,30,1948
10,31,2253
10,32,2758
10,33,1768
10,34,1929
10,35,1911
10,36,1248
10,37,1170
10,38,2316
11,0,1454
11,1,1417
11,2,1562
11,3,1686
11,4,1500
11,5,1463
11,6,1235
11,7,1400
11,8,884
11,9,930
11,10,837
11,11,0
11,12,923
11,13,1151
11,14,864
11,15,616
11,16,742
11,17,1095
11,18,1730
11,19,1376
11,20,1744
11,21,1696
11,22,1836
11,23,2122
11,24,1973
11,25,1890
11,26,1926
11,27,1849
11,28,1975
11,29,2306
11,30,2117
11,31,2439
11,32,2987
11,33,1959
11,34,2501
11,35,2483
11,36,1820
11,37,1734
11,38,2471
12,0,2017
12,1,1634
12,2,1732
12,3,1809
12,4,1623
12,5,1708
12,6,1345
12,7,1523
12,8,1007
12,9,1384
12,10,1400
12,11,923
12,12,0
12,13,564
12,14,703
12,15,642
12,16,778
12,17,1108
12,18,1767
12,19,1412
12,20,1780
12,21,2089
12,22,1872
12,23,2153
12,24,2327
12,25,2237
12,26,2402
12,27,1907
12,28,2011
12,29,2280
12,30,2153
12,31,2492
12,32,3018
12,33,2068
12,34,2490
12,35,2473
12,36,2139
12,37,2232
12,38,2558
13,0,2233
13,1,1850
13,2,2018
13,3,2029
13,4,1839
13,5,1924
13,6,1581
13,7,1739
13,8,1223
13,9,1553
13,10,1616
13,11,1151
13,12,564
13,13,0
13,14,763
13,15,824
13,16,939
13,17,1201
13,18,1928
13,19,1573
13,20,1941
13,21,2250
13,22,2033
13,23,2314
13,24,2481
13,25,2398
13,26,2434
13,27,2068
13,28,2172
13,29,2441
13,30,2314
13,31,2584
13,32,3179
13,33,2156
13,34,2651
13,35,2634
13,36,2300
13,37,2393
13,38,2668
14,0,1978
14,1,1659
14,2,1793
14,3,1870
14,4,1684
14,5,1769
14,6,1406
14,7,1584
14,8,1068
14,9,1484
14,10,1361
14,11,864
14,12,703
14,13,763
14,14,0
14,15,812
14,16,908
14,17,1238
14,18,1897
14,19,1542
14,20,1910
14,21,2271
14,22,2019
14,23,2283
14,24,2431
14,25,2348
14,26,2403
14,27,2037
14,28,2141
14,29,2410
14,30,2300
14,31,2553
14,32,3165
14,33,2125
14,34,2620
14,35,2620
14,36,2278
14,37,2192
14,38,2637
15,0,1712
15,1,1355
15,2,1420
15,3,1497
15,4,1311
15,5,1396
15,6,1033
15,7,1211
15,8,695
15,9,1041
15,10,1118
15,11,616
15,12,642
15,13,824
15,14,812
15,15,0
15,16,549
15,17,714
15,18,1501
15,19,1196
15,20,1567
15,21,1846
15,22,1685
15,23,1916
15,24,2078
15,25,1993
15,26,2026
15,27,1644
15,28,1772
15,29,2183
15,30,1959
15,31,2223
15,32,2768
15,33,1799
15,34,2326
15,35,2231
15,36,1967
15,37,1991
15,38,2304
16,0,1626
16,1,1481
16,2,1355
16,3,1432
16,4,1246
16,5,1331
16,6,968
16,7,1146
16,8,630
16,9,1036
16,10,1244
16,11,742
16,12,778
16,13,939
16,14,908
16,15,549
16,16,0
16,17,532
16,18,1376
16,19,1000
16,20,1371
16,21,1756
16,22,1489
16,23,1720
16,24,1882
16,25,1797
16,26,1830
16,27,1448
16,28,1576
16,29,1987
16,30,1763
16,31,1957
16,32,2572
16,33,1603
16,34,2123
16,35,2035
16,36,1701
16,37,1795
16,38,2108
17,0,2072
17,1,1832
17,2,1871
17,3,1878
17,4,1692
17,5,1777
17,6,1427
17,7,1264
17,8,933
17,9,1235
17,10,1567
17,11,1095
17,12,1108
17,13,1201
17,14,1238
17,15,714
17,16,532
17,17,0
17,18,1853
17,19,1532
17,20,1903
17,21,2288
17,22,2021
17,23,2252
17,24,2414
17,25,2329
17,26,2362
17,27,1655
17,28,2108
17,29,2224
17,30,1957
17,31,2222
17,32,2811
17,33,1798
17,34,2388
17,35,2413
17,36,2233
17,37,2327
17,38,2302
18,0,1400
18,1,1767
18,2,1037
18,3,1114
18,4,928
18,5,1681
18,6,1350
18,7,1030
18,8,1267
18,9,1701
18,10,1561
18,11,1730
18,12,1767
18,13,1928
18,14,1897
18,15,1501
18,16,1376
18,17,1853
18,18,0
18,19,777
18,20,1269
18,21,1254
18,22,1023
18,23,1324
18,24,1138
18,25,947
18,26,1202
18,27,473
18,28,790
18,29,1042
18,30,747
18,31,1012
18,32,1557
18,33,588
18,34,1178
18,35,1231
18,36,1285
18,37,1379
18,38,1092
19,0,1145
19,1,1512
19,2,944
19,3,951
19,4,584
19,5,1148
19,6,1037
19,7,973
19,8,913
19,9,1347
19,10,1377
19,11,1376
19,12,1412
19,13,1573
19,14,1542
19,15,1196
19,16,1000
19,17,1532
19,18,777
19,19,0
19,20,795
19,21,1139
19,22,751
19,23,1052
19,24,1308
19,25,1223
19,26,1256
19,27,839
19,28,969
19,29,1240
19,30,1159
19,31,1423
19,32,1968
19,33,999
19,34,1451
19,35,1428
19,36,1127
19,37,1221
19,38,1503
20,0,909
20,1,1519
20,2,1323
20,3,1325
20,4,517
20,5,539
20,6,794
20,7,1307
20,8,1281
20,9,1319
20,10,1557
20,11,1744
20,12,1780
20,13,1941
20,14,1910
20,15,1567
20,16,1371
20,17,1903
20,18,1269
20,19,795
20,20,0
20,21,963
20,22,927
20,23,1300
20,24,1525
20,25,1645
20,26,1678
20,27,1495
20,28,1624
20,29,1895
20,30,1740
20,31,2004
20,32,2549
20,33,1580
20,34,2106
20,35,2083
20,36,1549
20,37,1643
20,38,2084
21,0,804
21,1,1241
21,2,598
21,3,616
21,4,733
21,5,1116
21,6,1431
21,7,1667
21,8,1625
21,9,1505
21,10,1116
21,11,1696
21,12,2089
21,13,2250
21,14,2271
21,15,1846
21,16,1756
21,17,2288
21,18,1254
21,19,1139
21,20,963
21,21,0
21,22,783
21,23,1129
21,24,1069
21,25,1044
21,26,1077
21,27,1293
21,28,1264
21,29,1447
21,30,1537
21,31,1802
21,32,2347
21,33,1378
21,34,1658
21,35,1635
21,36,948
21,37,1042
21,38,1882
22,0,1083
22,1,1450
22,2,882
22,3,490
22,4,535
22,5,1373
22,6,1503
22,7,1415
22,8,1319
22,9,1714
22,10,1315
22,11,1836
22,12,1872
22,13,2033
22,14,2019
22,15,1685
22,16,1489
22,17,2021
22,18,1023
22,19,751
22,20,927
22,21,783
22,22,0
22,23,490
22,24,706
22,25,943
22,26,1170
22,27,1132
22,28,1234
22,29,1540
22,30,1376
22,31,1641
22,32,2186
22,33,1217
22,34,1751
22,35,1728
22,36,1041
22,37,1135
22,38,1721
23,0,1416
23,1,1839
23,2,1267
23,3,717
23,4,926
23,5,1743
23,6,1784
23,7,1696
23,8,1654
23,9,2088
23,10,1648
23,11,2122
23,12,2153
23,13,2314
23,14,2283
23,15,1916
23,16,1720
23,17,2252
23,18,1324
23,19,1052
23,20,1300
23,21,1129
23,22,490
23,23,0
23,24,414
23,25,651
23,26,1320
23,27,1363
23,28,1344
23,29,1527
23,30,1712
23,31,1977
23,32,2522
23,33,1553
23,34,1738
23,35,1715
23,36,1318
23,37,1412
23,38,2057
24,0,1169
24,1,1536
24,2,905
24,3,616
24,4,1167
24,5,1911
24,6,1958
24,7,1954
24,8,1828
24,9,1800
24,10,1401
24,11,1973
24,12,2327
24,13,2481
24,14,2431
24,15,2078
24,16,1882
24,17,2414
24,18,1138
24,19,1308
24,20,1525
24,21,1069
24,22,706
24,23,414
24,24,0
24,25,340
24,26,1009
24,27,1052
24,28,1033
24,29,1216
24,30,1482
24,31,1871
24,32,2385
24,33,1323
24,34,1427
24,35,1404
24,36,1103
24,37,1197
24,38,1850
25,0,1086
25,1,1477
25,2,822
25,3,680
25,4,1181
25,5,1828
25,6,1844
25,7,1780
25,8,1738
25,9,1717
25,10,1323
25,11,1890
25,12,2237
25,13,2398
25,14,2348
25,15,1993
25,16,1797
25,17,2329
25,18,947
25,19,1223
25,20,1645
25,21,1044
25,22,943
25,23,651
25,24,340
25,25,0
25,26,847
25,27,712
25,28,693
25,29,876
25,30,1142
25,31,1468
25,32,2045
25,33,983
25,34,1087
25,35,1064
25,36,941
25,37,1035
25,38,1510
26,0,1122
26,1,1489
26,2,747
26,3,1016
26,4,1217
26,5,1864
26,6,1868
26,7,1804
26,8,1903
26,9,1753
26,10,1354
26,11,1926
26,12,2402
26,13,2434
26,14,2403
26,15,2026
26,16,1830
26,17,2362
26,18,1202
26,19,1256
26,20,1678
26,21,1077
26,22,1170
26,23,1320
26,24,1009
26,25,847
26,26,0
26,27,1249
26,28,1229
26,29,1382
26,30,1648
26,31,2037
26,32,2551
26,33,1570
26,34,1593
26,35,1570
26,36,701
26,37,1163
26,38,2015
27,0,1322
27,1,1689
27,2,1058
27,3,1216
27,4,1073
27,5,1794
27,6,1515
27,7,1423
27,8,1408
27,9,1815
27,10,1554
27,11,1849
27,12,1907
27,13,2068
27,14,2037
27,15,1644
27,16,1448
27,17,1655
27,18,473
27,19,839
27,20,1495
27,21,1293
27,22,1132
27,23,1363
27,24,1052
27,25,712
27,26,1249
27,27,0
27,28,694
27,29,877
27,30,1143
27,31,1469
27,32,2030
27,33,984
27,34,1088
27,35,1065
27,36,812
27,37,906
27,38,1511
28,0,1308
28,1,1697
28,2,1383
28,3,1225
28,4,1204
28,5,1925
28,6,1618
28,7,1554
28,8,1512
28,9,1946
28,10,1543
28,11,1975
28,12,2011
28,13,2172
28,14,2141
28,15,1772
28,16,1576
28,17,2108
28,18,790
28,19,969
28,20,1624
28,21,1264
28,22,1234
28,23,1344
28,24,1033
28,25,693
28,26,1229
28,27,694
28,28,0
28,29,630
28,30,1132
28,31,1285
28,32,1799
28,33,818
28,34,841
28,35,818
28,36,1088
28,37,1182
28,38,1264
29,0,1487
29,1,1854
29,2,1223
29,3,1381
29,4,1473
29,5,2194
29,6,1887
29,7,1823
29,8,1781
29,9,2118
29,10,1719
29,11,2306
29,12,2280
29,13,2441
29,14,2410
29,15,2183
29,16,1987
29,17,2224
29,18,1042
29,19,1240
29,20,1895
29,21,1447
29,22,1540
29,23,1527
29,24,1216
29,25,876
29,26,1382
29,27,877
29,28,630
29,29,0
29,30,946
29,31,1079
29,32,1618
29,33,712
29,34,721
29,35,661
29,36,1300
29,37,1394
29,38,1106
30,0,1694
30,1,2061
30,2,1423
30,3,1500
30,4,1314
30,5,2067
30,6,1760
30,7,1777
30,8,1654
30,9,2088
30,10,1948
30,11,2117
30,12,2153
30,13,2314
30,14,2300
30,15,1959
30,16,1763
30,17,1957
30,18,747
30,19,1159
30,20,1740
30,21,1537
30,22,1376
30,23,1712
30,24,1482
30,25,1142
30,26,1648
30,27,1143
30,28,1132
30,29,946
30,30,0
30,31,625
30,32,1182
30,33,552
30,34,1142
30,35,1174
30,36,1726
30,37,1820
30,38,1033
31,0,2022
31,1,2367
31,2,1841
31,3,1918
31,4,1732
31,5,2485
31,6,2185
31,7,2042
31,8,2072
31,9,2415
31,10,2253
31,11,2439
31,12,2492
31,13,2584
31,14,2553
31,15,2223
31,16,1957
31,17,2222
31,18,1012
31,19,1423
31,20,2004
31,21,1802
31,22,1641
31,23,1977
31,24,1871
31,25,1468
31,26,2037
31,27,1469
31,28,1285
31,29,1079
31,30,625
31,31,0
31,32,649
31,33,485
31,34,1083
31,35,1114
31,36,1967
31,37,2061
31,38,1033
32,0,2617
32,1,2912
32,2,2367
32,3,2444
32,4,2258
32,5,3011
32,6,2704
32,7,2587
32,8,2598
32,9,3028
32,10,2758
32,11,2987
32,12,3018
32,13,3179
32,14,3165
32,15,2768
32,16,2572
32,17,2811
32,18,1557
32,19,1968
32,20,2549
32,21,2347
32,22,2186
32,23,2522
32,24,2385
32,25,2045
32,26,2551
32,27,2030
32,28,1799
32,29,1618
32,30,1182
32,31,649
32,32,0
32,33,1098
32,34,1591
32,35,1622
32,36,2555
32,37,2649
32,38,1568
33,0,1594
33,1,2055
33,2,1417
33,3,1494
33,4,1308
33,5,2061
33,6,1754
33,7,1618
33,8,1648
33,9,1930
33,10,1768
33,11,1959
33,12,2068
33,13,2156
33,14,2125
33,15,1799
33,16,1603
33,17,1798
33,18,588
33,19,999
33,20,1580
33,21,1378
33,22,1217
33,23,1553
33,24,1323
33,25,983
33,26,1570
33,27,984
33,28,818
33,29,712
33,30,552
33,31,485
33,32,1098
33,33,0
33,34,868
33,35,782
33,36,1796
33,37,1890
33,38,548
34,0,1697
34,1,2091
34,2,1433
34,3,1591
34,4,1683
34,5,2404
34,6,2097
34,7,2033
34,8,1991
34,9,2328
34,10,1929
34,11,2501
34,12,2490
34,13,2651
34,14,2620
34,15,2326
34,16,2123
34,17,2388
34,18,1178
34,19,1451
34,20,2106
34,21,1658
34,22,1751
34,23,1738
34,24,1427
34,25,1087
34,26,1593
34,27,1088
34,28,841
34,29,721
34,30,1142
34,31,1083
34,32,1591
34,33,868
34,34,0
34,35,638
34,36,1646
34,37,1740
34,38,1084
35,0,1679
35,1,2046
35,2,1415
35,3,1573
35,4,1666
35,5,2387
35,6,2080
35,7,2016
35,8,1974
35,9,2310
35,10,1911
35,11,2483
35,12,2473
35,13,2634
35,14,2620
35,15,2231
35,16,2035
35,17,2413
35,18,1231
35,19,1428
35,20,2083
35,21,1635
35,22,1728
35,23,1715
35,24,1404
35,25,1064
35,26,1570
35,27,1065
35,28,818
35,29,661
35,30,1174
35,31,1114
35,32,1622
35,33,782
35,34,638
35,35,0
35,36,1622
35,37,1716
35,38,731
36,0,1016
36,1,1383
36,2,560
36,3,887
36,4,1083
36,5,1839
36,6,1746
36,7,1682
36,8,1640
36,9,1647
36,10,1248
36,11,1820
36,12,2139
36,13,2300
36,14,2278
36,15,1967
36,16,1701
36,17,2233
36,18,1285
36,19,1127
36,20,1549
36,21,948
36,22,1041
36,23,1318
36,24,1103
36,25,941
36,26,701
36,27,812
36,28,1088
36,29,1300
36,30,1726
36,31,1967
36,32,2555
36,33,1796
36,34,1646
36,35,1622
36,36,0
36,37,860
36,38,2010
37,0,1108
37,1,1475
37,2,682
37,3,980
37,4,1176
37,5,1839
37,6,1839
37,7,1775
37,8,1733
37,9,1561
37,10,1170
37,11,1734
37,12,2232
37,13,2393
37,14,2192
37,15,1991
37,16,1795
37,17,2327
37,18,1379
37,19,1221
37,20,1643
37,21,1042
37,22,1135
37,23,1412
37,24,1197
37,25,1035
37,26,1163
37,27,906
37,28,1182
37,29,1394
37,30,1820
37,31,2061
37,32,2649
37,33,1890
37,34,1740
37,35,1716
37,36,860
37,37,0
37,38,2220
38,0,2129
38,1,2496
38,2,1907
38,3,2023
38,4,1836
38,5,2551
38,6,2244
38,7,2122
38,8,2138
38,9,2478
38,10,2316
38,11,2471
38,12,2558
38,13,2668
38,14,2637
38,15,2304
38,16,2108
38,17,2302
38,18,1092
38,19,1503
38,20,2084
38,21,1882
38,22,1721
38,23,2057
38,24,1850
38,25,1510
38,26,2015
38,27,1511
38,28,1264
38,29,1106
38,30,1033
38,31,1033
38,32,1568
38,33,548
38,34,1084
38,35,731
38,36,2010
38,37,2220
38,38,0
