fromnode,tonode,c
19,0,527.3008
19,1,210.7656
19,2,494.2224
19,3,403.8657
19,4,255.6551
19,5,104.6478
19,6,1049.2660
19,7,1301.5110
19,8,198.9058
19,9,1125.0410
19,10,768.1641
19,11,2125.5120
19,12,651.1179
19,13,1015.1650
19,14,728.3743
19,15,918.5615
19,16,328.7515
19,17,273.4106
19,18,1814.8300
19,19,0.0000
